ID,Refinery production,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_ID,Refinery: Primary total,,,,,,,,,,90800.0,158000.0,213000.0,192000.0,223000.0,211000.0,263000.0,218000.0,277000.0,254000.0,289000.0,278000.0,257000.0,Indonesia,ID,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ID,Refinery: Total,,,,,,,,,,90800.0,158000.0,213000.0,192000.0,223000.0,211000.0,263000.0,218000.0,277000.0,254000.0,289000.0,278000.0,257000.0,Indonesia,ID,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,Refinery: Primary electrowon,,,,,,,1500.0,9500.0,9500.0,10000.0,10000.0,12000.0,12000.0,12000.0,12000.0,10000.0,9000.0,8000.0,7000.0,7000.0,7000.0,10000.0,Iran,IR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,Refinery: Primary other,47800.0,79700.0,102000.0,84900.0,90200.0,90400.0,99100.0,103000.0,129000.0,132000.0,132000.0,140000.0,131000.0,95600.0,102000.0,123000.0,140000.0,145000.0,140000.0,150000.0,143000.0,149000.0,Iran,IR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,Refinery: Primary total,47800.0,79700.0,102000.0,84900.0,90200.0,90400.0,101000.0,113000.0,139000.0,142000.0,142000.0,152000.0,143000.0,108000.0,114000.0,133000.0,149000.0,153000.0,147000.0,157000.0,150000.0,159000.0,Iran,IR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,Refinery: Secondary total,,,,,,,,,,,,,,39000.0,38000.0,40000.0,51000.0,55000.0,53000.0,53000.0,70000.0,68000.0,Iran,IR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,Refinery: Total,47800.0,79700.0,102000.0,84900.0,90200.0,90400.0,101000.0,113000.0,139000.0,142000.0,142000.0,152000.0,143000.0,147000.0,152000.0,173000.0,200000.0,208000.0,200000.0,210000.0,220000.0,227000.0,Iran,IR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IT,Refinery: Primary other,,,,,6200.0,14300.0,25000.0,5600.0,,,,,,,,,,,,,,,Italy,IT,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IT,Refinery: Primary total,,,,,6200.0,14300.0,25000.0,5600.0,,,,,,,,,,,,,,,Italy,IT,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IT,Refinery: Secondary total,83000.0,83400.0,76000.0,90300.0,77800.0,83700.0,60800.0,80100.0,29100.0,28500.0,32800.0,35500.0,32400.0,26700.0,34000.0,32200.0,36400.0,28600.0,24200.0,6500.0,2000.0,2000.0,Italy,IT,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IT,Refinery: Total,83000.0,83400.0,76000.0,90300.0,84000.0,98000.0,85800.0,85700.0,29100.0,28500.0,32800.0,35500.0,32400.0,26700.0,34000.0,32200.0,36400.0,28600.0,24200.0,6500.0,2000.0,2000.0,Italy,IT,National,USGS,Metric tons,Annual production,Copper|Refining
