Hydrochloric Acid_Annual Production_DZ,National,DZ,Algeria,Hydrochloric Acid,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.7,0.9,1.2,1.1,1.5,5.2,5.5,6.0,11.0,12.0,12.0,1.2,3.6,2.9,1.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver_Annual Production_CN,National,CN,China,Silver,Annual Production,Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,25.0,33.0,29.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,31.0,31.0,47.0,62.0,78.0,78.0,78.0,78.0,78.0,78.0,90.0,100.0,110.0,125.0,130.0,150.0,170.0,200.0,810.0,910.0,1140.0,1300.0,1300.0,1320.0,1600.0,1910.0,2200.0,2500.0,2450.0,,,,,,,,,,,,,,,,,,,,,
Zinc_Annual Production_CA,National,CA,Canada,Zinc,Annual Production,Thousands Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.9,2.5,3.3,4.5,11.0,14.0,16.0,15.0,18.0,24.0,25.0,27.0,25.0,35.0,56.0,66.0,74.0,78.0,110.0,108.0,78.0,83.0,122.0,136.0,137.0,144.0,156.0,159.0,168.0,194.0,196.0,187.0,153.0,165.0,168.0,162.0,178.0,187.0,185.0,188.0,202.0,228.0,194.0,233.0,232.0,224.0,229.0,232.0,237.0,243.0,254.0,258.0,306.0,325.0,347.0,367.0,387.0,423.0,413.0,373.0,476.0,533.0,438.0,427.0,472.0,495.0,495.0,580.0,592.0,619.0,512.0,617.0,683.0,692.0,571.0,610.0,703.0,670.0,592.0,661.0,672.0,610.0,693.0,720.0,717.0,700.0,781.0,777.0,780.0,661.0,794.0,700.0,,,,,,,,,,,,,,,,,,,,,,
Sulphuric Acid_Annual Production_IN,National,IN,India,Sulphuric Acid,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,27.0,26.0,26.0,25.0,24.0,27.0,28.0,28.0,27.0,26.0,31.0,39.0,44.0,41.0,43.0,39.0,38.0,41.0,36.0,81.0,101.0,104.0,109.0,98.0,111.0,153.0,169.0,168.0,199.0,230.0,297.0,354.0,422.0,469.0,568.0,680.0,685.0,690.0,838.0,994.0,1160.0,1189.0,1311.0,1302.0,1330.0,1431.0,1376.0,1635.0,2017.0,2086.0,2228.0,2217.0,2278.0,2391.0,2241.0,2683.0,2626.0,2877.0,3159.0,3416.0,3293.0,3272.0,3904.0,4183.0,3742.0,3745.0,4402.0,4988.0,4830.0,5366.0,5686.0,5540.0,5178.0,5988.0,6076.0,,,,,,,,,,,,,,,,,,,,,,
Zinc_Annual Production_JP,National,JP,Japan,Zinc,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,21.0,39.0,55.0,40.0,20.0,16.0,10.0,12.0,14.0,14.0,17.0,17.0,17.0,19.0,22.0,25.0,25.0,27.0,31.0,32.0,34.0,39.0,49.0,56.0,57.0,61.0,64.0,60.0,62.0,60.0,26.0,11.0,15.0,21.0,32.0,46.0,54.0,68.0,77.0,102.0,113.0,140.0,142.0,145.0,165.0,187.0,219.0,254.0,291.0,324.0,387.0,450.0,520.0,609.0,717.0,681.0,720.0,809.0,844.0,851.0,702.0,742.0,778.0,768.0,789.0,735.0,670.0,662.0,701.0,754.0,740.0,708.0,666.0,678.0,664.0,688.0,731.0,730.0,696.0,666.0,664.0,599.0,603.0,608.0,633.0,654.0,644.0,640.0,651.0,,,,,,,,,,,,,,,,,,,,,,
Caustic Soda_Annual Production_AU,National,AU,Australia,Caustic Soda,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,2.9,,,,,,15.0,12.0,12.0,15.0,14.0,12.0,17.0,21.0,18.0,20.0,27.0,33.0,35.0,40.0,42.0,47.0,49.0,48.0,57.0,65.0,71.0,76.0,92.0,100.0,107.0,112.0,120.0,128.0,123.0,141.0,139.0,137.0,135.0,131.0,132.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitric Acid_Annual Production_JP,National,JP,Japan,Nitric Acid,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,6.0,13.0,25.0,28.0,33.0,38.0,53.0,82.0,102.0,91.0,106.0,123.0,145.0,142.0,45.0,16.0,18.0,32.0,33.0,38.0,56.0,56.0,71.0,87.0,84.0,94.0,91.0,92.0,108.0,130.0,148.0,155.0,183.0,217.0,246.0,276.0,341.0,374.0,414.0,474.0,517.0,637.0,686.0,668.0,553.0,611.0,646.0,642.0,664.0,565.0,508.0,521.0,540.0,569.0,567.0,552.0,573.0,618.0,658.0,683.0,698.0,691.0,678.0,675.0,698.0,660.0,668.0,631.0,620.0,641.0,602.0,612.0,624.0,,,,,,,,,,,,,,,,,,,,,,
Hydrochloric Acid_Annual Production_CN,National,CN,China,Hydrochloric Acid,Annual Production,Thousand Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,1115.0,1078.0,1177.0,1292.0,1483.0,1583.0,1704.0,1856.0,2060.0,2270.0,2462.0,2579.0,2623.0,2852.0,3028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochloric Acid_Annual Production_US,National,US,United States of America,Hydrochloric Acid,Annual Production,Thousands Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,50.0,,57.0,,79.0,,110.0,,112.0,,207.0,269.0,311.0,346.0,370.0,310.0,402.0,416.0,448.0,561.0,631.0,620.0,702.0,693.0,760.0,822.0,860.0,749.0,867.0,880.0,826.0,954.0,956.0,1122.0,1243.0,1380.0,1479.0,1585.0,1733.0,1827.0,1905.0,2089.0,2282.0,2181.0,1790.0,2203.0,2420.0,2533.0,2803.0,2619.0,2335.0,2222.0,2238.0,2442.0,2546.0,2170.0,2718.0,2928.0,2965.0,2848.0,3067.0,3235.0,3168.0,3388.0,3542.0,3734.0,4145.0,4226.0,4191.0,4279.0,3970.0,4028.0,4181.0,,,,,,,,,,,,,,,,,,,,,,
Silver_Annual Production_ID,National,ID,Indonesia,Silver,Annual Production,Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.7,3.9,5.5,5.7,5.8,5.9,15.0,14.0,15.0,14.0,14.0,17.0,32.0,42.0,37.0,34.0,29.0,31.0,32.0,32.0,39.0,49.0,65.0,75.0,73.0,71.0,63.0,61.0,65.0,46.0,27.0,27.0,24.0,22.0,21.0,16.0,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitric Acid_Annual Production_US,National,US,United States of America,Nitric Acid,Annual Production,Thousands Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,106.0,,87.0,,87.0,,160.0,,152.0,,315.0,388.0,438.0,428.0,406.0,521.0,1079.0,1028.0,1025.0,1212.0,1372.0,1487.0,1602.0,2077.0,2352.0,2352.0,2580.0,2453.0,2789.0,3007.0,3066.0,3329.0,3849.0,4293.0,4444.0,5002.0,5863.0,6057.5,6553.0,6897.0,6929.0,7241.0,7658.0,7425.0,6418.0,6813.0,7244.0,7196.0,8087.0,8373.0,8247.0,6703.0,6320.0,7073.0,6924.0,6110.0,6554.0,7249.0,7574.0,7194.0,7189.0,7296.0,7487.0,7905.0,8019.0,8350.0,9433.0,9285.0,8945.0,8708.0,7074.0,6939.0,6747.0,,,,,,,,,,,,,,,,,,,,,,
Nitric Acid_Annual Production_CA,National,CA,Canada,Nitric Acid,Annual Production,Thousands Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,215.0,209.0,182.0,208.0,255.0,243.0,248.0,289.0,310.0,353.0,344.0,392.0,384.0,358.0,475.0,503.0,543.0,610.0,715.0,436.0,365.0,,,,,713.0,861.0,977.0,855.0,1101.0,1128.0,1024.0,1000.0,907.0,1027.0,,912.0,919.0,917.0,910.0,899.0,1039.0,1000.0,935.0,1007.0,1074.0,1054.0,1143.0,,,,,,,,,,,,,,,,,,,,,,,
Silver_Annual Production_NA,National,,Namibia,Silver,Annual Production,Metric Tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,21.0,17.0,12.0,,,,,,,12.0,12.0,20.0,20.0,25.0,29.0,26.0,27.0,40.0,58.0,54.0,43.0,54.0,33.0,33.0,40.0,36.0,45.0,48.0,47.0,45.0,42.0,40.0,38.0,44.0,35.0,49.0,59.0,45.0,44.0,55.0,58.0,113.0,105.0,107.0,87.0,110.0,101.0,106.0,108.0,95.0,108.0,108.0,92.0,91.0,89.0,72.0,62.0,69.0,42.0,41.0,23.0,10.0,9.0,20.0,44.0,45.0,27.153,34.1015,31.307,7.902,7.1922,,,,,,,,,,,,,,,,,
