ID,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Spatial Scale,Metric,Unit,Country Code,Technology Name
Off-Grid Offshore Wind Energy_Installed electricity capacity_CR,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CI,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CI,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_HR,Croatia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,HR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CU,Cuba,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CW,Curaçao,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CY,Cyprus,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CY,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CZ,Czechia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KP,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KP,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CD,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CD,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DK,Denmark,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DK,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DJ,Djibouti,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DJ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DM,Dominica,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DO,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_EC,Ecuador,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,EC,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_EG,Egypt,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,EG,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_SV,El Salvador,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,SV,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GQ,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GQ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_ER,Eritrea,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,ER,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_EE,Estonia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,EE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_SZ,Eswatini,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,SZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_ET,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,ET,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FK,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FK,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FO,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FJ,Fiji,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FJ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FI,Finland,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FI,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FR,France,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GF,French Guiana,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GF,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_PF,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,PF,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GA,Gabon,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GA,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GM,Gambia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GE,Georgia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DE,Germany,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GH,Ghana,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GH,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GR,Greece,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GL,Greenland,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GL,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GD,Grenada,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GD,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GP,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GP,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GU,Guam,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GT,Guatemala,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GN,Guinea,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GN,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GW,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_GY,Guyana,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,GY,Off-Grid Offshore Wind Energy
