ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Corn Production_Price_CG,7.39,12.31,12.31,12.31,12.31,15.39,15.39,19.7,22.12,23.03,21.01,24.21,21.79,32.2,42.6,53.01,63.41,73.82,84.22,102.2,93.78,103.23,105.36,108.75,93.41,97.84,80.81,118.39,92.02,92.02,92.02,92.02,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Congo,CG
Corn Production_Price_CR,7.78,8.6,8.65,10.86,10.9,15.81,21.86,19.5,21.42,24.33,24.84,24.66,26.02,30.86,33.52,41.89,64.27,67.6,71.86,72.8,82.41,80.52,73.09,80.53,126.61,92.86,74.97,79.87,75.08,79.25,79.25,79.25,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Costa Rica,CR
Corn Production_Price_HR,,2.18,30.32,80.7,68.36,86.7,74.81,56.58,70.03,81.92,82.03,72.36,86.48,83.7,73.69,82.59,163.06,77.47,74.92,115.82,133.61,175.03,117.16,95.12,105.06,99.82,113.59,106.25,98.86,107.55,169.62,231.7,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Croatia,HR
Corn Production_Price_CU,,,,,,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,63.42,63.42,63.42,72.84,72.84,85.71,85.71,85.71,85.71,85.71,107.14,107.14,107.14,108.19,110.3,121.01,122.04,123.95,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Cuba,CU
Corn Production_Price_CZ,,,83.69,85.09,88.59,119.78,96.63,86.5,78.66,88.41,97.74,81.6,72.6,94.75,69.31,72.78,105.15,116.49,70.39,82.5,118.33,118.6,127.25,106.91,95.05,98.04,95.0,101.08,102.99,98.14,123.45,125.41,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Czechia,CZ
Corn Production_Price_CI,20.57,28.35,28.35,32.6,37.17,33.38,48.01,42.06,39.3,38.86,45.26,45.26,58.25,57.73,56.1,56.7,66.3,71.33,69.13,71.33,81.96,108.06,87.5,81.43,99.57,119.0,111.08,130.33,139.29,139.62,139.95,140.28,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Côte d'Ivoire,CI
Corn Production_Price_DO,15.65,15.9,17.03,23.0,17.55,19.69,20.57,19.33,18.59,21.77,21.53,22.51,30.73,51.26,47.77,59.69,50.12,87.9,75.69,78.86,86.14,89.49,91.94,92.43,108.11,99.46,104.87,112.31,126.02,115.7,129.75,142.07,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Dominican Republic,DO
Corn Production_Price_EC,3.7,4.52,10.39,7.44,14.8,14.72,19.7,27.19,60.25,106.12,132.09,125.67,96.34,86.01,96.34,99.36,111.26,69.81,83.78,106.12,69.81,88.22,100.81,93.72,99.71,106.58,101.37,88.27,92.18,93.12,96.01,98.84,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Ecuador,EC
Corn Production_Price_EG,17.83,17.59,18.52,19.36,20.78,21.67,22.32,23.41,24.46,24.54,24.78,25.43,28.02,41.88,41.88,43.62,64.12,57.2,56.35,75.96,78.26,87.89,90.31,91.81,108.83,99.37,115.5,118.57,220.49,225.23,225.23,228.3,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Egypt,EG
Corn Production_Price_SV,45.9,44.03,42.23,64.5,42.47,66.95,71.48,56.93,42.82,53.82,64.29,46.84,46.49,62.1,61.07,54.6,85.56,85.79,76.39,68.6,124.33,85.79,73.38,89.49,106.57,103.95,61.42,87.86,101.16,76.15,76.91,73.79,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,El Salvador,SV
Corn Production_Price_ER,,,7.49,8.34,9.73,9.2,8.99,13.37,15.67,18.24,15.56,20.06,23.23,30.42,29.7,33.06,35.47,41.18,53.32,59.5,67.44,74.71,82.12,90.49,99.47,110.04,121.71,113.45,127.57,133.63,136.11,139.84,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Eritrea,ER
Corn Production_Price_ET,,,27.81,28.89,21.96,16.41,17.57,21.03,22.42,22.65,15.49,13.17,25.15,23.46,28.96,27.73,55.7,77.66,89.36,56.39,54.55,97.07,99.15,111.4,94.76,93.84,111.17,130.35,122.85,116.5,110.85,105.17,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Ethiopia,ET
Corn Production_Price_FJ,20.29,29.97,22.09,25.75,23.61,18.63,37.63,53.23,53.23,58.06,58.06,58.06,58.06,58.06,62.9,62.9,62.9,67.74,82.91,161.61,118.35,134.52,110.81,48.39,106.45,145.16,174.19,154.84,154.84,154.84,193.55,225.18,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Fiji,FJ
