Country Code,Country Name,Technology Name,Unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PE,Peru,Oil refining,Thousand barrels daily,60.04,60.419999999999995,85.49999999999999,98.42,87.4,87.4,100.32,101.0,106.99999999999999,129.99999999999997,129.99999999999997,115.99999999999999,170.99999999999997,170.0,170.0,171.0,175.99999999999997,186.0,186.0,187.0,187.00000000000003,187.00000000000003,187.00000000000003,187.0,187.00000000000003,187.00000000000003,187.00000000000003,187.0,188.99999999999997,188.99999999999997,188.99999999999997,189.0,188.99999999999997,188.99999999999997,192.00000000000003,198.0,198.00000000000003,198.00000000000003,198.00000000000003,223.0,223.00000000000003,223.00000000000003,223.00000000000003,230.0,251.99999999999997,251.99999999999997,251.99999999999997,252.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,276.00000000000006
TT,Trinidad & Tobago,Oil refining,Thousand barrels daily,341.00000000000006,390.0,405.00000000000006,430.0,433.0,436.00000000000006,436.00000000000006,450.00000000000006,450.0,456.0,456.0,456.00000000000006,456.0,436.00000000000006,436.00000000000006,436.0,436.00000000000006,410.0,355.00000000000006,310.0,300.0,300.0,300.0,300.0,300.0,273.00000000000006,240.0,239.99999999999997,240.0,240.0,240.0,239.99999999999997,240.0,240.0,160.0,159.99999999999997,160.0,160.0,160.0,159.99999999999997,160.0,160.0,160.0,159.99999999999997,160.0,160.0,170.0,175.0,174.99999999999997,174.99999999999997,174.99999999999997,175.0,174.99999999999997,174.99999999999997,174.99999999999997,175.0,174.99999999999997
VE,Venezuela,Oil refining,Thousand barrels daily,1120.0,1135.0,1217.0000000000002,1222.0,1258.0,1289.0,1295.0,1473.9999999999998,1474.0000000000002,1474.0000000000002,1445.0000000000002,1445.0,1445.0000000000002,1371.0,1371.0,1283.0000000000002,1263.0,1253.0,1243.0,1243.0000000000002,1243.0,1243.0,1243.0,1243.0000000000002,1243.0,1243.0,1195.9999999999998,1201.9999999999998,1202.0,1205.0,1217.0000000000002,1217.0,1217.0000000000002,1219.9999999999998,1231.0,1274.0,1274.0,1274.0,1269.0,1284.0,1291.0000000000002,1294.0,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998,1302.9999999999998
AT,Austria,Oil refining,Thousand barrels daily,80.0,80.0,80.0,79.99999999999999,80.0,151.0,151.0,151.00000000000003,220.99999999999997,220.99999999999997,220.99999999999997,291.0,290.99999999999994,290.99999999999994,290.99999999999994,291.0,290.99999999999994,201.0,201.0,200.99999999999997,201.0,201.0,201.0,200.99999999999997,201.0,201.0,201.0,200.99999999999997,201.0,201.0,201.0,200.99999999999997,201.0,201.0,201.0,200.99999999999997,201.0,201.0,201.0,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904,192.7890410958904
BE,Belgium,Oil refining,Thousand barrels daily,334.99999999999994,351.99999999999994,502.00000000000006,611.0,692.0,720.9999999999999,837.0000000000001,847.0,865.0,936.0,978.0,1113.0,1082.0,1076.0,1076.0,1060.0,1060.0,725.9999999999999,725.9999999999999,606.9999999999999,569.0,609.0000000000001,675.9999999999999,686.0,693.0000000000001,683.9999999999999,661.9999999999999,661.9999999999999,661.9999999999999,665.0000000000001,669.0,686.0,689.0,707.0,709.0000000000001,739.0,758.0,780.0,776.0,751.0,755.9999999999999,766.0,781.0,786.0,786.0,787.0,788.0,752.9999999999999,776.0,776.0,776.0,775.9999999999999,776.0,776.0,776.0,775.9999999999999,645.0
BG,Bulgaria,Oil refining,Thousand barrels daily,54.0,62.99999999999999,62.99999999999999,74.0,100.0,131.00000000000003,161.0,170.00000000000003,201.0,231.0,231.0,239.99999999999997,241.0,276.99999999999994,276.99999999999994,277.0,276.99999999999994,276.99999999999994,276.99999999999994,277.0,276.99999999999994,276.99999999999994,276.99999999999994,277.0,276.99999999999994,276.99999999999994,267.0,257.0,237.00000000000003,237.00000000000003,209.99999999999997,210.0,209.99999999999997,120.0,120.0,119.99999999999999,120.0,120.0,120.0,180.00000000000003,205.0,205.0,174.99999999999997,175.0,180.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
CZ,Czech Republic,Oil refining,Thousand barrels daily,24.000000000000004,24.000000000000004,58.0,57.99999999999999,58.0,58.0,58.0,57.99999999999999,58.0,120.0,120.0,119.99999999999999,120.0,120.0,120.0,119.99999999999999,120.0,177.00000000000003,177.00000000000003,177.0,177.00000000000003,177.00000000000003,177.00000000000003,177.0,177.00000000000003,177.00000000000003,177.00000000000003,177.0,177.00000000000003,177.00000000000003,177.00000000000003,177.0,177.00000000000003,200.0,200.0,200.0,200.0,200.0,193.00000000000003,192.99999999999997,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,193.39150684931508,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065,174.71506849315065
DK,Denmark,Oil refining,Thousand barrels daily,53.08125,113.0,127.0,162.0,178.99999999999997,188.99999999999997,216.0,222.0,227.0,220.0,226.0,226.0,220.99999999999997,220.0,220.0,220.00000000000003,220.0,185.0,185.0,174.0,174.99999999999997,174.99999999999997,174.99999999999997,174.0,193.00000000000003,193.00000000000003,193.00000000000003,180.00000000000003,185.0,185.0,220.99999999999997,233.99999999999997,178.0,178.0,184.0,184.00000000000003,184.0,188.99999999999997,188.99999999999997,188.0,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,188.77260273972604,180.73972602739727,180.73972602739727,180.73972602739727,180.0,180.0,180.0,180.5479452054794,180.5479452054794,180.5479452054794,180.5479452054794,180.5479452054794
FI,Finland,Oil refining,Thousand barrels daily,60.0,84.0,110.0,130.0,185.0,185.0,193.00000000000003,195.99999999999997,201.0,201.0,201.0,300.0,301.00000000000006,301.00000000000006,301.00000000000006,300.0,301.00000000000006,248.99999999999997,241.0,239.99999999999997,241.0,241.0,241.0,239.99999999999997,201.0,201.0,201.0,200.0,201.0,241.0,241.0,250.0,251.00000000000003,261.0,261.0,261.0,261.0,261.0,261.0,260.0,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,261.06849315068496,203.71253632212537
FR,France,Oil refining,Thousand barrels daily,1411.0,1590.0,1683.0,1949.0,2113.0,2339.0,2430.9999999999995,2902.0,3090.0000000000005,3402.0,3404.0,3438.0,3439.0,3395.0,3351.0000000000005,3325.9999999999995,3179.0,2831.0,2378.0,2194.0,2184.0000000000005,1919.0,1927.0,1815.0,1699.0,1699.0,1699.0,1711.0,1687.0,1697.0000000000002,1728.0,1749.0000000000002,1872.0,1918.0,1933.0,1984.0,1960.9999999999998,1987.0000000000002,1966.9999999999998,1982.2930684931507,1978.2163835616439,1959.2788767123288,1961.969890410959,1970.605232876712,1847.0,1702.2067397260275,1610.1700547945206,1512.7714246575345,1374.9272602739727,1374.9272602739727,1374.9272602739727,1245.0958904109589,1245.0958904109589,1245.0958904109589,1245.0958904109589,1245.0958904109589,1139.9999999999998
