ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Sugar Cane Production_Price_MA,85.04,85.04,85.04,88.53,88.53,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,104.66,120.94,131.37,115.85,114.16,118.0,116.86,117.32,106.92,91.58,101.5,98.21,100.23,103.26,101.2,101.45,102.77,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Morocco,MA
Sugar Cane Production_Price_MZ,7.97,11.55,17.44,24.56,25.63,48.42,52.33,52.33,52.33,52.33,52.33,52.33,75.79,83.54,87.81,92.99,97.03,121.17,113.65,98.57,117.69,128.73,126.54,122.02,104.23,73.75,76.43,84.97,91.53,87.09,86.15,84.94,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Mozambique,MZ
Sugar Cane Production_Price_MM,1.94,4.58,1.8,3.34,3.9,4.18,5.16,6.97,6.97,6.97,6.97,9.14,9.91,10.02,10.95,13.2,17.83,21.22,21.14,22.67,83.6,83.6,83.6,83.6,83.6,132.79,105.9,107.29,91.96,91.96,97.45,98.84,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Myanmar,MM
Sugar Cane Production_Price_NP,13.95,14.56,8.64,13.91,11.0,17.29,20.51,18.81,23.68,22.03,23.89,30.58,28.73,26.15,31.91,34.46,39.28,35.33,82.25,82.25,84.3,98.65,88.19,94.35,96.95,108.7,108.91,110.04,109.93,110.04,112.81,113.52,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Nepal,NP
Sugar Cane Production_Price_NI,17.29,18.28,26.18,30.88,33.35,41.5,45.7,47.67,48.17,46.93,57.06,55.83,57.8,60.82,64.11,65.9,66.77,73.5,71.24,77.51,91.72,91.93,90.65,101.36,102.55,96.09,94.53,190.12,191.97,202.38,182.86,166.58,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Nicaragua,NI
Sugar Cane Production_Price_NE,13.05,30.19,67.93,67.93,72.26,70.82,69.37,72.26,70.82,73.71,76.6,78.04,75.15,81.85,88.39,87.64,94.17,107.61,107.84,102.92,111.36,104.34,108.72,110.45,93.61,95.94,98.49,106.56,104.47,104.0,103.89,103.72,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Niger,NE
Sugar Cane Production_Price_NG,3.64,8.33,16.47,20.22,26.23,33.17,37.45,40.02,42.49,44.66,57.18,69.08,82.54,100.16,117.4,126.71,140.46,160.68,159.64,116.21,125.27,129.77,116.12,118.39,99.69,81.92,73.06,76.92,79.5,79.73,78.63,77.53,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Nigeria,NG
Sugar Cane Production_Price_OM,,,,,,,,,,,,,,,,,,,,,,222.14,159.45,96.78,101.75,101.47,101.47,101.47,101.47,101.47,101.47,101.47,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Oman,OM
Sugar Cane Production_Price_PK,10.27,11.25,11.76,12.08,13.73,14.4,16.16,13.89,14.69,15.57,20.61,16.24,14.75,17.23,17.12,17.63,19.2,19.33,20.16,22.27,28.59,91.33,103.33,80.0,110.0,110.0,116.16,122.95,125.31,125.79,121.52,117.26,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Pakistan,PK
Sugar Cane Production_Price_PA,66.68,66.68,66.68,66.68,66.68,66.68,66.68,70.85,70.85,70.85,70.85,70.85,62.51,62.51,62.51,62.51,75.8,75.81,100.86,100.61,100.61,100.61,100.61,100.61,94.9,104.5,119.43,137.4,119.9,128.03,103.04,91.98,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Panama,PA
Sugar Cane Production_Price_PY,17.85,18.33,19.44,26.6,30.78,29.21,29.17,30.73,31.81,34.54,37.25,52.27,54.17,53.56,68.33,79.26,80.96,77.73,83.29,95.24,125.0,165.28,116.67,100.0,100.0,100.0,116.67,150.0,158.33,125.0,131.77,130.68,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Paraguay,PY
Sugar Cane Production_Price_PE,17.58,35.17,52.75,61.55,61.55,70.34,70.34,79.13,79.13,79.13,58.91,52.75,50.12,56.44,55.2,56.45,63.55,74.2,72.26,74.5,86.58,90.94,88.06,92.27,100.82,106.91,108.83,101.99,102.09,102.43,103.06,103.69,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Peru,PE
Sugar Cane Production_Price_PH,30.53,26.07,27.33,31.11,41.98,42.12,41.54,54.01,59.7,51.42,54.35,55.38,52.11,47.18,53.42,69.23,68.12,66.34,60.35,101.89,96.69,87.88,84.87,89.22,101.12,109.66,113.94,109.15,109.97,107.35,106.79,106.02,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Philippines,PH
Sugar Cane Production_Price_PT,7.39,7.39,7.39,7.39,9.13,9.13,9.13,9.92,8.95,9.93,10.8,8.52,7.41,7.59,7.96,6.7,5.02,7.81,7.81,11.38,12.33,96.3,100.0,100.0,100.0,100.0,100.0,100.0,134.32,149.55,166.51,183.47,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Portugal,PT
Sugar Cane Production_Price_PR,52.28,52.28,52.28,52.28,100.9,99.33,81.82,81.82,119.19,99.33,110.05,105.6,101.89,97.94,105.26,108.01,84.22,80.25,90.21,92.45,94.65,95.77,96.9,98.07,100.01,101.92,104.66,106.78,102.74,102.14,101.84,101.4,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Puerto Rico,PR
