ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_GE,,,,64.97,83.44,70.11,63.53,66.8,45.62,47.16,46.69,45.87,49.01,58.02,58.37,60.74,85.83,74.04,84.42,83.96,100.68,109.58,116.04,114.42,92.66,92.92,90.3,92.96,96.04,54.03,52.24,50.83,producer price index,Price,National,Soybean Production,FAOSTAT,Georgia,GE
Soybean Production_Price_DE,106.74,43.17,50.17,56.57,55.67,58.95,61.34,63.41,44.07,52.25,63.57,64.16,67.07,73.2,55.12,67.95,83.4,111.4,73.78,95.36,130.06,136.77,107.61,92.53,102.85,104.62,110.03,110.03,110.22,119.8,185.17,250.54,producer price index,Price,National,Soybean Production,FAOSTAT,Germany,DE
Soybean Production_Price_GR,57.46,59.73,62.6,66.24,51.48,55.77,56.78,61.86,55.77,57.12,60.19,61.47,59.93,66.59,64.03,57.76,80.04,114.94,109.75,105.79,116.73,126.08,114.34,100.25,99.93,99.82,99.69,99.73,103.88,116.66,119.47,124.28,producer price index,Price,National,Soybean Production,FAOSTAT,Greece,GR
Soybean Production_Price_HN,10.94,13.02,18.08,19.29,33.46,41.46,53.96,62.42,48.43,45.61,45.21,48.89,52.58,56.83,61.08,63.59,71.09,84.87,81.58,93.2,120.05,108.26,93.9,100.32,101.13,98.56,100.89,93.52,91.34,90.62,90.25,89.88,producer price index,Price,National,Soybean Production,FAOSTAT,Honduras,HN
Soybean Production_Price_HU,15.55,15.59,17.6,31.09,28.43,53.09,54.89,59.78,43.19,47.52,62.43,59.62,60.16,59.73,50.41,49.33,64.96,71.69,70.52,83.65,91.25,123.36,121.08,102.63,97.17,100.2,106.01,102.6,98.63,116.86,163.92,210.98,producer price index,Price,National,Soybean Production,FAOSTAT,Hungary,HU
Soybean Production_Price_IN,27.16,36.36,29.25,34.14,38.37,38.4,45.59,33.92,36.06,36.91,37.76,37.76,39.68,42.67,43.1,43.52,45.84,59.31,65.52,77.14,84.12,91.28,87.32,94.65,100.36,104.99,110.08,109.77,117.23,117.8,117.54,117.69,producer price index,Price,National,Soybean Production,FAOSTAT,India,IN
Soybean Production_Price_ID,11.11,10.75,11.92,13.34,13.61,14.82,16.45,29.53,31.38,27.29,32.04,37.42,39.44,42.1,46.84,44.88,51.73,74.73,79.25,80.75,87.26,90.39,92.93,100.17,100.17,99.66,93.34,99.22,97.38,107.95,112.05,116.45,producer price index,Price,National,Soybean Production,FAOSTAT,Indonesia,ID
Soybean Production_Price_IR,1.31,1.39,2.02,2.43,2.92,5.31,5.7,5.9,7.54,9.35,9.84,11.7,12.1,12.66,13.52,15.16,22.74,21.37,26.39,28.21,29.48,53.39,84.85,87.97,97.42,114.61,120.09,127.4,149.05,597.43,623.58,662.64,producer price index,Price,National,Soybean Production,FAOSTAT,Iran (Islamic Republic of),IR
Soybean Production_Price_IT,114.58,51.91,65.05,68.38,70.38,84.91,81.26,78.54,61.55,67.95,72.41,79.79,93.75,74.07,62.98,61.01,76.18,106.82,86.33,89.66,97.32,120.18,126.62,106.67,96.38,96.96,105.24,94.83,89.71,88.37,97.04,105.71,producer price index,Price,National,Soybean Production,FAOSTAT,Italy,IT
Soybean Production_Price_JP,154.95,155.38,163.9,154.95,154.73,154.08,164.98,162.34,159.48,155.38,143.08,130.78,133.8,183.11,199.62,156.03,138.11,103.04,99.91,84.68,82.78,66.54,69.82,105.57,100.66,93.77,81.76,74.53,83.44,96.02,93.5,90.97,producer price index,Price,National,Soybean Production,FAOSTAT,Japan,JP
