Country Code,Country Name,Technology Name,Unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CY,Cyprus,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000755,0.000921,0.001512,0.003489,0.015356,0.031356,0.07300000000000001,0.178,0.257,0.327,0.318,0.399752,0.424659,0.43522000000000005,0.46380000000000005,0.514752,0.5966480000000001,0.762248
CZ,Czech Republic,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.30900000000000005,0.405,0.292,0.494,0.587,0.683,0.517,0.5142,0.4956,0.4939,0.590831,0.6696599999999999,0.9619200000000001,1.314171,1.714124,2.238894,3.0974410000000003,5.220129,5.9518189999999995,6.543969,7.260472999999999,7.6280850000000004,7.394550000000001,7.748973,7.775186,8.0165,8.0239,8.008094294000001
DK,Denmark,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.010499999999999999,0.010499999999999999,0.018499999999999996,0.0601,0.0662,0.0874,0.17660000000000003,0.23479999999999998,0.37170000000000003,0.5544,0.8203,1.0951,1.4364,1.7622,1.7103997093736998,1.8241404554852436,2.059244301068392,2.910186848607189,3.8984569760154164,4.348789530163458,5.542005559668148,5.818778653845485,6.7573409751567315,8.055654317172436,9.495704742118084,9.79041057660148,9.180121565051376,10.27875824847914,10.070993491504373,10.044507591993398,12.409513888888888,14.164338888888889,14.819805555555554,15.954319444444444,17.975872222222222,18.937980555555555,18.370753111111114,21.780044111111113,20.745019555555558,23.06249977777778,23.434606000000002,26.043899128481577
EE,Estonia,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.008,0.012,0.012,0.013,0.011,0.028399999999999998,0.032100000000000004,0.0386,0.0869,0.11430000000000001,0.127,0.171,0.5091,1.0191,1.1512,1.4352999999999998,1.1974,1.3471,1.5,1.488677,1.7754919999999998,1.9278020000000002,2.0595,2.7479118033122063,3.1101365592698897
FI,Finland,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.156499999999999,5.0001,4.953,5.963100000000001,6.473,6.6196,5.901000000000001,7.9088,9.3573,8.4134,8.666726315789475,8.283089473684209,8.997321052631577,9.386000000000001,10.493647368421051,9.650373684210525,10.912731578947367,10.1202,10.655663157894736,9.024478947368422,11.279210526315788,11.669542105263158,11.601263157894735,12.722831578947368,12.822463157894736,13.679510898458267,14.543317384370017,16.72661350345561,18.814152046783626,19.436448697501326,19.73728867623604,22.12849548112706
FR,France,Renewable energy generation,Terawatt-hours,0.0,0.39,0.605,0.926,1.067,1.3702458,1.3918224,1.5151953,1.5500864,1.5770592,1.4158849,1.3329,1.3745814,1.4183881,1.4840102000000002,1.4710235,1.4921525,1.52734,1.5587000000000002,1.6223,1.65215,1.6628,1.7506,1.77325,1.84145,1.913271526,2.102489604,2.1359776040000003,1.97808518,2.1635825,2.3357542000000002,2.4330805,2.6895352000000003,2.6765857,2.8944919300000005,3.03922325,3.4711605,3.80910345,4.1127673,4.385447984,4.84450076,6.03490605,8.304,10.172,12.664000000000001,15.482,19.61,25.47108530851177,28.599213578650613,31.483562690574235,37.45758367606827,39.10880977677153,43.98013663340953,49.4925000965063,57.10665718497785,63.34328852721746,62.76551996977358
DE,Germany,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.9200201613000001,1.001028226,1.01874874,1.0531048390000002,1.07625,1.124710181,1.277685232,1.246583921,1.317465978,1.443317792,1.96625378,1.804237651,1.798813004,1.540238155,1.642944808,1.644029738,1.596569556,1.447849294,1.645881804,1.775267893,1.507,1.612,1.839,2.266,2.819,3.554,4.181,5.274000000000001,7.2219999999999995,8.487,12.9,15.8,22.400000000000002,28.348651,37.21151400000001,43.7882,52.5234,68.2604,73.9246,77.0398,84.46170000000001,106.7578,121.6524,128.951,141.44,168.254,167.697,194.666,204.382,220.60000000000002,231.835,217.60000000000002
GR,Greece,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.009000000000000001,0.04800000000000001,0.038,0.03500000000000001,0.036000000000000004,0.037,0.073,0.163,0.451,0.835,0.777,1.126,1.245,1.389,1.8140000000000003,2.003,2.438,2.811,3.062,4.132,5.748,8.003,7.7010000000000005,8.752,9.350000000000001,9.838492,10.404981,12.096884,14.210511999999998,15.81636756805079
HU,Hungary,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.024,0.046,0.039,0.045,0.056,0.05,0.053,0.06,0.065,0.065,0.07100000000000001,0.043000000000000003,0.165,0.731,1.6680000000000001,1.307,1.673,2.1439999999999997,2.667,2.825,2.4859999999999998,2.434181,2.574905,2.84954,2.995,2.9990000000000006,3.262,3.545,4.471,5.285000000000001,6.661644999999999
IS,Iceland,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.001904,0.012091000000000001,0.012033,0.021664000000000003,0.0242,0.005751,0.018347000000000002,0.019012,0.016126,0.018285,0.045630000000000004,0.04467200000000001,0.12313299999999999,0.15896800000000005,0.171714,0.173233,0.17123299999999997,0.212339,0.234136,0.24560800000000002,0.25750799999999996,0.28291000000000005,0.26702499999999996,0.229769,0.25427200000000005,0.258365,0.288177,0.343134288,0.37307241,0.652658067,1.135673,1.3226630000000001,1.4508629999999998,1.4304200153020006,1.4046782756394998,1.48238277502431,1.6590298229999998,2.63259802256,3.5806526811578947,4.037937016578947,4.55308681,4.4653225690000005,4.701470946000001,5.20950492,5.2504766730000005,5.2467503440000005,5.013876414,5.076489361,5.177725551,6.014196999999999,6.024707487,5.967262494,5.793941295972691
IE,Ireland,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050009,0.0150027,0.01900342,0.01600288,0.041007379999999996,0.13102358,0.25404572000000003,0.27805004,0.33906102,0.43107757999999996,0.46908441999999995,0.5400971999999999,0.76413752,1.2423955909599997,1.750788985302,2.128760892970409,2.6193683240687093,3.2075279266914234,3.1306980027393854,4.717742022012327,4.451172602590691,5.02398300542508,5.678181849300972,7.0520390335630925,6.835946,8.186131000000001,9.509809,10.911872,12.550576,10.745017953566158
IT,Italy,Renewable energy generation,Terawatt-hours,2.676,3.351,3.4749999999999996,3.617,3.8120000000000003,4.228,4.209,3.807,3.8449999999999998,4.245,3.986,3.8120000000000003,3.73,3.811,3.825,3.96,3.4690000000000003,3.521,3.393,3.472,3.212,3.5010000000000003,3.693,3.787,3.2010202020202017,3.2769191919191925,3.2998787878787876,3.566919191919192,3.7978383838383842,3.581717171717172,3.6756363636363636,4.184666666666667,4.603000000000001,5.257000000000001,5.950000000000001,6.68,7.5360000000000005,8.797,10.196,11.533,12.372000000000002,13.641000000000002,14.899999999999999,16.54,20.1187,25.8476,37.1388,50.34740000000001,59.234899999999996,62.1334,63.3668,65.5902,67.699,65.62819999999999,69.3608,68.81393401659022,71.44134502120173
LV,Latvia,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.002,0.005,0.006,0.020999999999999998,0.07200000000000001,0.087,0.08900000000000001,0.089,0.095,0.10300000000000001,0.096,0.115,0.1912,0.3962,0.6212,0.7702,0.9162,0.9533820000000001,1.08108,1.067026,1.084556,1.0476450000000002,0.9657333811964821
