Country Code,Country Name,Technology Name,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DE,Germany,Biofuels production,Petajoules,0.0,0.0,0.186019524,0.186019524,1.041592104,1.302011064,2.046005424,3.348016488,3.720013668,4.836005208,9.300013236000002,13.019985036,20.460012372,24.886464804000003,38.085112359393946,58.23491295600001,95.76781650000001,118.883725452,105.80650686000001,105.87554719200001,131.21372584800002,128.92915656000002,120.81685474800001,128.67836724,143.8085482,132.58042619999998,134.0882924,136.86352,140.6150604,146.86441759999997,141.028981,121.18864939999999
IT,Italy,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.582011396,7.400001528000001,8.251010496000001,7.473982284000001,26.205432408,31.268906460000004,32.56723314,24.553488600000005,13.038239484,19.124716248000002,21.467691396,21.71358216,21.938371452,26.321909184000003,28.395840564000004,32.67357786,46.77245938800001,45.79252936973141
NL,Netherlands,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24769696969696972,0.12351010101010101,0.9788000000000001,3.4130000000000003,3.2586000000000004,10.138,16.24108659918975,27.702098953909175,52.91382932973222,61.9702,74.62932977099237,80.04994231366658,63.47410229007634,82.63759236641222,79.96398778625955,84.79533587786261,84.00503736440338,84.64170873180284
PL,Poland,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2351010101010103,0.24769696969696972,4.762422670838513,6.290569771262841,4.189367508179389,12.005263399999997,16.9116032,18.1476872,17.1245024,27.020422,28.877252199999997,31.1664356,33.7822,38.452,38.304110200000004,37.8002362,40.9386426,40.702598800000004,43.273593376
PT,Portugal,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382036775106082,2.9438054449565803,6.788979936,6.238457604,9.451449792,11.89009332,13.827869964,11.539113876,11.48878854,12.611311488,13.426146504,12.467578644,13.235772708,13.693724892,14.801468436,12.570113376,12.17178883973801
ES,Spain,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.064667609618105,3.056294200848656,5.335477833497636,7.52567078136385,9.167857357164287,12.288093452202364,10.937927721343565,15.331350635063508,15.667203291757746,37.705182743988686,42.232605657708625,35.0798,25.4938,30.839999999999996,42.578,46.379,49.8672398,77.55713539999999,90.44058059999999,87.1768078,74.735,71.9438
SE,Sweden,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61064478,1.367283276,3.786248844,7.131627648,1.506033828,1.712317464,2.053248588,5.546379564,7.655438196000001,8.681287932,8.038614132,9.538116552,9.527021532000001,9.533929752,9.159922908,8.663996447999999,7.7699471760000005,15.259295016,18.00365868,17.609764536,25.665623128482174
GB,United Kingdom,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146110325318246,0.382036775106082,0.3830834512022631,0.330254784,9.544815432,16.275180168000002,11.963655396,9.000070884000001,11.767043268,7.281012672,12.53779128,21.095359272000003,16.30612062,12.61566576,22.698610596,31.103109180000004,28.7015607,24.547250268000003,23.31135618615796,22.728164234805234
AU,Australia,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.927163106,1.1585124932011317,1.152215382306082,2.131411254612164,4.173585229671287,6.765708013210184,9.702453181113473,7.566414809913473,9.153783170590735,9.696237593601598,10.2452108096016,10.763813060317894,9.505207902008841,5.264152643631789,4.447922720880884,5.412720539280884,6.254875506112673,5.242980023337221,4.825776663958147
CN,China,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191018387553041,6.366523438058092,17.482432528967184,21.475244747719817,30.124884927815412,44.03212309242241,48.54332457086763,60.23181220558571,65.83111979548912,63.98856056752565,79.63035376579262,85.25915611039501,94.89894505642452,105.40277982536763,89.75676664063727,86.32334126150096,104.56862257778876,100.85110906635606,122.10660000000001,128.8279996032,142.72185668228573
